name,feature_class,lineage,needs_panel,description
atr_14,price_geometry,clean,False,"Wilder ATR(14) on mid-OHLC, shifted 1 to use bars closed strictly before signal."
atr_percentile_100,vol_regime,clean,False,Trailing-100 percentile rank of Wilder ATR(14). 0..1 (1 = highest vol in the trailing window). Uses strictly prior bars only.
atr_vs_trailing_100,vol_regime,clean,False,Wilder ATR(14) at signal bar (computed on prior data) divided by the mean of the trailing 100-bar ATR series. >1 ⇒ vol expansion.
d1_atr_percentile_100,multi_tf,clean,True,Trailing-100 percentile rank of D1 Wilder ATR(14). Computed on the lag-1 D1 series so it's strictly prior at the signal bar.
d1_close_slope_magnitude,multi_tf,clean,True,Absolute D1 close-on-close change (lag-1). Pair with d1_close_slope_sign for directional + magnitude features.
d1_close_slope_sign,multi_tf,clean,True,Sign of the prior-D1 close-on-close slope. -1 / 0 / +1. Uses the L_PROTOCOL §1 one-day-lag rule (D1 bar from calendar day T-1 visible at T).
day_of_week,session,clean,False,UTC weekday (Mon=0..Sun=6).
distance_to_round_number,distance,clean,False,Minimum pip distance from prior mid-close to the nearest of three round-number grids (0.0050 / 0.0100 / 0.0500 price units).
dollar_bloc_state,cross_pair,suspect,True,"Average signed 1-bar mid-return of dollar-bloc currencies (USD, CAD, AUD, NZD) vs the non-bloc complement. Proxy for risk-on/off bloc moves."
eur_strength_index,cross_pair,suspect,True,Average signed 1-bar mid-return of EUR across all EUR-bearing pairs at the prior bar. +ve = EUR strengthening. SUSPECT pending Step 6 audit.
hour_of_day,session,clean,False,UTC hour of the bar's left edge (0-23).
kijun_26_distance,price_geometry,clean,False,Distance from prior mid-close to prior Kijun-sen(26). Positive = price above Kijun. Shifted 1 — uses strictly prior bars only.
prior_session_high_distance,distance,clean,False,Distance from the prior-bar mid-close to the prior-calendar-day's bid-side session high. Positive ⇒ above prior day's high.
prior_session_low_distance,distance,clean,False,Distance from the prior-bar mid-close to the prior-calendar-day's ask-side session low. Positive ⇒ above prior day's low.
range_close_ratio,price_geometry,clean,False,Prior-bar (high - low) / close. Bar-1 volatility proxy.
session_dead,session,clean,False,Dead-zone flag — UTC 21-07 (wraps midnight).
session_ldn_ny_overlap,session,clean,False,London/NY overlap flag (UTC 12-16).
session_london,session,clean,False,London session flag (UTC 07-16).
session_ny,session,clean,False,NY session flag (UTC 12-21).
session_tokyo,session,clean,False,Tokyo session flag (UTC 00-09).
signal_density_28,cross_pair,suspect,True,Count of pairs whose prior-bar mid-range exceeds that pair's trailing-100 mean range. 0..28. Coarse universe-volatility proxy.
spread_percentile_100,spread_regime,clean,False,Trailing-100 percentile rank of the prior-bar spread. 0..1.
spread_vs_trailing_100,spread_regime,clean,False,Prior-bar spread divided by mean of the trailing 100-bar spread. >1 ⇒ widening spread regime.
swing_high_distance_14,price_geometry,clean,False,Distance from prior mid-close to the 14-bar trailing swing high (also on prior bars). Positive — swing high is above current close.
swing_low_distance_14,price_geometry,clean,False,Distance from prior mid-close to the 14-bar trailing swing low. Positive — current close is above the swing low.
usd_strength_index,cross_pair,suspect,True,Average signed 1-bar mid-return of USD across all USD-bearing pairs at the prior bar. +ve = USD strengthening. SUSPECT pending Step 6 audit of the cross-pair alignment + ffill semantics.
w1_close_slope_sign,multi_tf,clean,True,Sign of the prior-W1 close-on-close slope. -1 / 0 / +1. Strictly prior W1 bar (no exact-match alignment — week N's bar isn't visible until week N+1 starts).
